128	basic	0.010867
128	basic	0.010846
128	basic	0.010839
128	basic	0.010802
128	basic	0.010794
128	basic	0.010806
128	basic	0.010812
128	basic	0.010796
128	basic	0.010785
128	basic	0.010778
256	basic	0.120941
256	basic	0.120830
256	basic	0.120890
256	basic	0.120883
256	basic	0.120853
256	basic	0.120896
256	basic	0.120859
256	basic	0.120879
256	basic	0.120869
256	basic	0.120869
512	basic	1.157721
512	basic	1.157169
512	basic	1.157004
512	basic	1.156955
512	basic	1.156885
512	basic	1.156780
512	basic	1.156977
512	basic	1.156893
512	basic	1.156837
512	basic	1.156745
1024	basic	9.833383
1024	basic	9.828691
1024	basic	9.827957
1024	basic	9.829757
1024	basic	9.829492
1024	basic	9.828360
1024	basic	9.830313
1024	basic	9.827712
1024	basic	9.827978
1024	basic	9.829123
